縣市別,性別,年齡,婚姻狀況,教育程度,人口數
彰化縣,女,40~49,未婚,碩士以上,1978
彰化縣,女,40~49,未婚,高中及以下,6785
彰化縣,女,40~49,非未婚,大學及專科,30609
彰化縣,女,40~49,非未婚,碩士以上,3926
彰化縣,女,40~49,非未婚,高中及以下,39774
彰化縣,女,50~59,未婚,大學及專科,3810
彰化縣,女,50~59,未婚,碩士以上,782
彰化縣,女,50~59,未婚,高中及以下,4212
彰化縣,女,50~59,非未婚,大學及專科,16141
彰化縣,女,50~59,非未婚,碩士以上,2424
彰化縣,女,50~59,非未婚,高中及以下,54006
彰化縣,女,60~69,未婚,大學及專科,984
彰化縣,女,60~69,未婚,碩士以上,126
彰化縣,女,60~69,未婚,高中及以下,1911
彰化縣,女,60~69,非未婚,大學及專科,7111
彰化縣,女,60~69,非未婚,碩士以上,633
彰化縣,女,60~69,非未婚,高中及以下,44796
彰化縣,男,15~19,未婚,大學及專科,0
彰化縣,男,15~19,未婚,碩士以上,0
彰化縣,男,15~19,未婚,高中及以下,28361
彰化縣,男,15~19,非未婚,大學及專科,0
彰化縣,男,15~19,非未婚,碩士以上,0
彰化縣,男,15~19,非未婚,高中及以下,39
彰化縣,男,20~29,未婚,大學及專科,34359
彰化縣,男,20~29,未婚,碩士以上,4160
彰化縣,男,20~29,未婚,高中及以下,38126
彰化縣,男,20~29,非未婚,大學及專科,2769
彰化縣,男,20~29,非未婚,碩士以上,235
彰化縣,男,20~29,非未婚,高中及以下,4734
彰化縣,男,30~39,未婚,大學及專科,26870
彰化縣,男,30~39,未婚,碩士以上,5628
彰化縣,男,30~39,未婚,高中及以下,17696
彰化縣,男,30~39,非未婚,大學及專科,20435
彰化縣,男,30~39,非未婚,碩士以上,4165
彰化縣,男,30~39,非未婚,高中及以下,15918
彰化縣,男,40~49,未婚,大學及專科,10180
彰化縣,男,40~49,未婚,碩士以上,1700
彰化縣,男,40~49,未婚,高中及以下,16671
彰化縣,男,40~49,非未婚,大學及專科,26971
彰化縣,男,40~49,非未婚,碩士以上,6111
彰化縣,男,40~49,非未婚,高中及以下,38707
彰化縣,男,50~59,未婚,大學及專科,2608
彰化縣,男,50~59,未婚,碩士以上,374
彰化縣,男,50~59,未婚,高中及以下,8063
彰化縣,男,50~59,非未婚,大學及專科,19881
彰化縣,男,50~59,非未婚,碩士以上,4397
彰化縣,男,50~59,非未婚,高中及以下,53272
彰化縣,男,60~69,未婚,大學及專科,528
彰化縣,男,60~69,未婚,碩士以上,58
彰化縣,男,60~69,未婚,高中及以下,3082
彰化縣,男,60~69,非未婚,大學及專科,12384
彰化縣,男,60~69,非未婚,碩士以上,1754
彰化縣,男,60~69,非未婚,高中及以下,53113
新北市,女,15~19,未婚,大學及專科,0
新北市,女,15~19,未婚,碩士以上,0
新北市,女,15~19,未婚,高中及以下,75710
新北市,女,15~19,非未婚,大學及專科,0
新北市,女,15~19,非未婚,碩士以上,0
新北市,女,15~19,非未婚,高中及以下,197
新北市,女,20~29,未婚,大學及專科,118521
新北市,女,20~29,未婚,碩士以上,8049
新北市,女,20~29,未婚,高中及以下,77528
新北市,女,20~29,非未婚,大學及專科,11716
新北市,女,20~29,非未婚,碩士以上,616
新北市,女,20~29,非未婚,高中及以下,12660
新北市,女,30~39,未婚,大學及專科,89162
新北市,女,30~39,未婚,碩士以上,13418
新北市,女,30~39,未婚,高中及以下,27707
新北市,女,30~39,非未婚,大學及專科,87954
新北市,女,30~39,非未婚,碩士以上,13662
新北市,女,30~39,非未婚,高中及以下,43614
新北市,女,40~49,未婚,大學及專科,50021
新北市,女,40~49,未婚,碩士以上,8900
新北市,女,40~49,未婚,高中及以下,25697
新北市,女,40~49,非未婚,大學及專科,135715
新北市,女,40~49,非未婚,碩士以上,21640
新北市,女,40~49,非未婚,高中及以下,109056
新北市,女,50~59,未婚,大學及專科,23828
新北市,女,50~59,未婚,碩士以上,5174
新北市,女,50~59,未婚,高中及以下,20347
新北市,女,50~59,非未婚,大學及專科,90254
新北市,女,50~59,非未婚,碩士以上,14620
新北市,女,50~59,非未婚,高中及以下,169074
